MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,Predicted_Sale_Price
20,2,11622,4,0,6,1961,1961,10,52.61934156378601,1046.1179698216736,137800.0
20,3,14267,0,0,6,1958,1958,11,52.61934156378601,1046.1179698216736,155660.0
60,3,13830,4,0,5,1997,1998,10,52.61934156378601,1046.1179698216736,242500.0
60,3,9978,4,0,6,1998,1998,10,52.61934156378601,1046.1179698216736,240400.0
120,3,5005,4,4,5,1992,1992,6,52.61934156378601,1046.1179698216736,180060.0
60,3,10000,0,0,5,1993,1994,6,52.61934156378601,1046.1179698216736,222300.0
20,3,7980,4,0,7,1992,2007,6,52.61934156378601,1046.1179698216736,170200.0
60,3,8402,4,0,5,1998,1998,10,52.61934156378601,1046.1179698216736,192800.0
20,3,10176,4,0,5,1990,1990,6,52.61934156378601,1046.1179698216736,167780.0
20,3,8400,0,0,5,1970,1970,8,52.61934156378601,1046.1179698216736,137150.0
120,2,5858,2,4,5,1999,1999,7,52.61934156378601,1046.1179698216736,207930.0
160,4,1680,4,3,5,1971,1971,6,52.61934156378601,1046.1179698216736,128200.0
160,4,1680,4,3,5,1971,1971,6,52.61934156378601,1046.1179698216736,128200.0
160,3,2280,2,3,6,1975,1975,8,52.61934156378601,1046.1179698216736,140967.4
120,3,2280,2,3,6,1975,1975,8,52.61934156378601,1046.1179698216736,140967.4
60,3,12858,4,0,5,2009,2010,10,52.61934156378601,1046.1179698216736,303446.0
20,3,12883,0,0,5,2009,2010,10,52.61934156378601,1046.1179698216736,167460.0
20,3,11520,4,0,5,2005,2005,10,52.61934156378601,1046.1179698216736,151686.4
20,3,14122,4,0,5,2005,2006,5,52.61934156378601,1046.1179698216736,184880.4
20,3,14300,4,0,5,2003,2004,10,52.61934156378601,1046.1179698216736,154400.0
60,3,13650,0,0,5,2002,2002,10,52.61934156378601,1046.1179698216736,248200.0
120,3,7132,4,4,5,2006,2006,10,52.61934156378601,1046.1179698216736,176840.0
20,3,18494,0,0,5,2005,2005,10,52.61934156378601,1046.1179698216736,198700.0
120,3,3203,4,4,5,2006,2006,10,52.61934156378601,1046.1179698216736,163948.0
80,3,13300,4,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,254600.0
60,3,8577,4,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,206700.0
60,3,17433,1,0,5,1998,1998,10,52.61934156378601,1046.1179698216736,240800.0
20,3,8987,4,0,5,2005,2006,10,52.61934156378601,1046.1179698216736,169881.8
20,1,9215,4,0,5,2009,2010,10,52.61934156378601,1046.1179698216736,158281.8
20,1,10440,0,0,5,2005,2005,10,52.61934156378601,1046.1179698216736,178266.4
60,3,11920,4,0,5,2004,2004,10,52.61934156378601,1046.1179698216736,270600.0
30,2,9800,0,0,5,1920,1950,11,52.61934156378601,1046.1179698216736,133500.0
20,3,15410,1,0,6,1974,2002,8,52.61934156378601,1046.1179698216736,153580.0
60,3,13143,4,0,5,1993,1993,6,52.61934156378601,1046.1179698216736,238300.0
60,3,11134,4,0,5,1992,1993,6,52.61934156378601,1046.1179698216736,217800.0
120,1,4835,1,4,5,2004,2005,7,52.61934156378601,1046.1179698216736,179540.0
160,1,3515,4,4,5,2004,2004,10,52.61934156378601,1046.1179698216736,164368.0
160,1,3215,4,4,5,2004,2004,7,52.61934156378601,1046.1179698216736,164368.0
160,1,2544,4,3,5,2004,2005,7,52.61934156378601,1046.1179698216736,166488.0
160,1,2544,4,3,5,2005,2005,10,52.61934156378601,1046.1179698216736,165168.0
160,1,2980,0,4,5,2000,2000,7,52.61934156378601,1046.1179698216736,173030.0
160,1,2403,2,4,5,2003,2003,10,52.61934156378601,1046.1179698216736,172250.0
20,1,12853,4,0,5,2010,2010,5,52.61934156378601,1046.1179698216736,193850.0
60,1,7379,4,0,5,2000,2000,10,52.61934156378601,1046.1179698216736,209600.0
20,1,8000,4,0,5,2002,2002,10,52.61934156378601,1046.1179698216736,177980.0
20,3,10456,4,0,6,1967,1967,6,52.61934156378601,1046.1179698216736,143700.0
60,3,10791,4,0,5,1993,1993,7,52.61934156378601,1046.1179698216736,222200.0
50,3,18837,4,0,5,1978,1978,7,52.61934156378601,1046.1179698216736,180700.0
60,3,9600,4,0,6,1971,1971,7,52.61934156378601,1046.1179698216736,170540.0
20,3,9600,4,0,5,1966,1966,10,52.61934156378601,1046.1179698216736,132000.0
20,3,9900,0,0,5,1966,1966,6,52.61934156378601,1046.1179698216736,132000.0
20,3,9680,4,0,6,1967,1967,11,52.61934156378601,1046.1179698216736,146900.0
80,3,10600,4,0,5,1964,1964,6,52.61934156378601,1046.1179698216736,152600.0
90,3,13260,4,2,6,1962,2001,6,52.61934156378601,1046.1179698216736,173560.0
50,3,9724,4,0,7,1952,2002,7,52.61934156378601,1046.1179698216736,151400.0
50,3,17360,0,0,6,1949,1950,7,52.61934156378601,1046.1179698216736,138140.0
85,3,11380,4,0,8,1966,2008,6,52.61934156378601,1046.1179698216736,152460.0
90,3,8267,0,2,5,1958,1958,6,52.61934156378601,1046.1179698216736,112192.0
20,3,8197,4,0,5,2003,2009,10,52.61934156378601,1046.1179698216736,167920.0
20,3,8050,4,0,5,1959,1959,7,52.61934156378601,1046.1179698216736,129700.0
20,3,10725,4,0,5,1959,1959,7,52.61934156378601,1046.1179698216736,134500.0
20,3,10032,4,0,5,1959,1959,11,52.61934156378601,1046.1179698216736,132700.0
